start station name,start station latitude,start station longitude
8 Ave & W 52 St,40.76370739,-73.9851615
W 27 St & 10 Ave,40.75018156,-74.00218427
N 6 St & Bedford Ave,40.71745169,-73.95850939
Schermerhorn St & Bond St,40.68841743,-73.98451656
W 26 St & 10 Ave,40.74971775,-74.00295035
State St & Smith St,40.68926942,-73.98912867
E 4 St & 2 Ave,40.7262807,-73.98978041
W 4 St & 7 Ave S,40.73401143,-74.00293877
Berry St & N 8 St,40.7190095,-73.95852515
Frederick Douglass Blvd & W 115 St,40.8038654,-73.9559308
Bond St & Fulton St,40.68962189,-73.98304269
6 Ave & W 33 St,40.74901271,-73.98848395
Fulton St & Rockwell Pl,40.68841,-73.979458
E 11 St & 2 Ave,40.73047309,-73.98672378
E 39 St & 3 Ave,40.7489006,-73.97604882
Bank St & Washington St,40.7361967,-74.00859207
Jackson St & Leonard St,40.71638032,-73.94821286
Douglass St & 3 Ave,40.6802133,-73.98432695
Underhill Ave & Lincoln Pl,40.6740123,-73.9671457
E 33 St & 1 Ave,40.74322681,-73.97449784
Bank St & Hudson St,40.73652889,-74.00618026
W 95 St & Broadway,40.7937704,-73.971888
W 37 St & 10 Ave,40.75660359,-73.9979009
S 4 St & Wythe Ave,40.71285887,-73.96590294
Kent Ave & N 7 St,40.72036775,-73.96165073
E 39 St & 2 Ave,40.74780373,-73.9734419
W 31 St & 7 Ave,40.749156,-73.9916
W 41 St & 8 Ave,40.75640548,-73.9900262
E 31 St & 3 Ave,40.74394314,-73.97966069
E 19 St & 3 Ave,40.73624527,-73.98473765
Broadway & E 14 St,40.73454567,-73.99074142
Broadway & W 29 St,40.7462009,-73.98855723
E 98 St & Park Ave,40.78813,-73.95206
W Broadway & Spring Street,40.72494672,-74.00165856
9 Ave & W 22 St,40.7454973,-74.00197139
Canal St & Rutgers St,40.71427487,-73.98990025
2 Ave & E 31 St,40.74290902,-73.97706058
Washington Pl & 6 Ave,40.73224119,-74.00026394
49 Ave & 21 St,40.74252,-73.948852
Fulton St & Utica Ave,40.6794268,-73.9298911
Greenpoint Ave & Manhattan Ave,40.73026,-73.95394
Lexington Ave & E 26 St,40.741459,-73.983293
